test,method,n_pairs,mean_method,mean_random,mean_diff,t_stat,p_val,p_adj,reject,cohen_d,noise
testAG,hamming_max,100,69.08442100881794,69.76640876515701,-0.6819877563390757,-2.6069589878765553,0.9947267771023989,1.0,False,-0.26069589878765553,0.09
testAG,hamming_min,100,69.83623718094971,69.76640876515701,0.06982841579268076,0.2431845815817746,0.4041827887280121,1.0,False,0.024318458158177462,0.09
testAG,model_grad_avg,100,69.11342040082712,69.76640876515701,-0.6529883643298876,-2.2517276728984585,0.9867255044357979,1.0,False,-0.22517276728984587,0.09
testAG,model_grad_max,100,69.69481969661439,69.76640876515701,-0.07158906854263498,-0.26331877037750884,0.6035739191284957,1.0,False,-0.026331877037750882,0.09
testAG,qbc,100,70.27889807238698,69.76640876515701,0.5124893072299607,2.1297393387145567,0.017836232944622218,0.24970726122471104,False,0.21297393387145566,0.09
testAG,threshold_avg,100,70.14834083488836,69.76640876515701,0.38193206973133087,1.3528683047153856,0.08958965161273916,1.0,False,0.13528683047153856,0.09
testAG,threshold_max,100,70.1643597979822,69.76640876515701,0.3979510328251806,1.3705013446120944,0.08681499749669379,1.0,False,0.13705013446120945,0.09
test,aligns,100,63.862393408150346,63.73654685293376,0.12584655521657828,0.3673089955571703,0.3570862811599791,1.0,False,0.03673089955571703,0.1
test,grad01_avg,100,63.45282733495571,63.73654685293376,-0.28371951797804296,-0.8127870954904561,0.7908547832106576,1.0,False,-0.08127870954904562,0.1
test,grad01_max,100,63.32657090115004,63.73654685293376,-0.4099759517837075,-1.238189787224445,0.8907130683753534,1.0,False,-0.1238189787224445,0.1
test,gradient_conf_avg,100,63.59292228537274,63.73654685293376,-0.14362456756103334,-0.38121983998420933,0.6480714853378684,1.0,False,-0.038121983998420934,0.1
test,gradient_conf_max,100,63.55977619767169,63.73654685293376,-0.17677065526207414,-0.4976760217897288,0.6900919727455802,1.0,False,-0.049767602178972886,0.1
test,gradient_input_avg,100,63.29645154608848,63.73654685293376,-0.4400953068452761,-1.2869491407941285,0.899443503598729,1.0,False,-0.12869491407941283,0.1
test,gradient_input_max,100,63.570176123856854,63.73654685293376,-0.1663707290769095,-0.4610601535321061,0.6771166150976393,1.0,False,-0.04610601535321061,0.1
test,hamming_max,100,63.111595707808846,63.73654685293376,-0.6249511451249102,-1.911017417207334,0.9705524581558329,1.0,False,-0.1911017417207334,0.1
test,hamming_min,100,63.49297152841756,63.73654685293376,-0.24357532451619052,-0.7225557420173259,0.7641718413934262,1.0,False,-0.07225557420173259,0.1
test,model_grad_avg,100,63.23355777009985,63.73654685293376,-0.5029890828339019,-1.6430695020630242,0.9482294795951032,1.0,False,-0.16430695020630243,0.1
test,model_grad_max,100,63.6627805611984,63.73654685293376,-0.07376629173536457,-0.22286980748358476,0.5879519896931966,1.0,False,-0.022286980748358477,0.1
test,qbc,100,64.09490640095723,63.73654685293376,0.3583595480234665,1.368447561756753,0.08713477745064725,1.0,False,0.13684475617567532,0.1
